2022-05-15 00:05:659 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 00:05:489 INFO  HomePage :86 - Click on 'Computers' tab <br>
2022-05-15 00:05:102 INFO  ComputerPage :32 - Get pageTitle text : [[ChromeDriver: chrome on WINDOWS (620374401aa436b4bb1f1269e127ae7c)] -> css selector: div[class='page-title'] h1]
2022-05-15 00:05:999 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 00:05:301 INFO  HomePage :86 - Click on 'Computers' tab <br>
2022-05-15 00:05:898 INFO  ComputerPage :39 - Click on 'Desktops' link <br>
2022-05-15 00:05:409 INFO  DesktopsPage :39 - Get pageTitle text [[ChromeDriver: chrome on WINDOWS (faaf297e39471cabe195d5e84d184321)] -> css selector: div[class='page-title'] h1]
2022-05-15 00:05:272 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 00:05:568 INFO  HomePage :86 - Click on 'Computers' tab <br>
2022-05-15 00:05:182 INFO  ComputerPage :39 - Click on 'Desktops' link <br>
2022-05-15 00:05:728 INFO  DesktopsPage :56 - Click on product 'Build your own computer' : [[ChromeDriver: chrome on WINDOWS (01306893657fe129fe7ee37a84dd4512)] -> xpath: //div[@class='products-container']//h2/a]
2022-05-15 00:05:150 INFO  BuildYourOwnComputerPage :60 - Select processor '2.2 GHz Intel Pentium Dual-Core E2200
2022-05-15 00:05:239 INFO  BuildYourOwnComputerPage :65 - Select RAM '2 GB
2022-05-15 00:05:318 INFO  BuildYourOwnComputerPage :72 - Select HDD '320 GB
2022-05-15 00:05:403 INFO  BuildYourOwnComputerPage :82 - Select HDD 'Vista Home [+$50.00]
2022-05-15 00:05:476 INFO  BuildYourOwnComputerPage :92 - Select Software '[[ChromeDriver: chrome on WINDOWS (01306893657fe129fe7ee37a84dd4512)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]
2022-05-15 00:05:533 INFO  BuildYourOwnComputerPage :100 - Click on 'ADD TO CART' Button
2022-05-15 00:05:422 INFO  BuildYourOwnComputerPage :105 - Get productAdded Message : [[ChromeDriver: chrome on WINDOWS (01306893657fe129fe7ee37a84dd4512)] -> xpath: //p[@class='content']]
2022-05-15 00:05:243 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 00:05:479 INFO  HomePage :86 - Click on 'Computers' tab <br>
2022-05-15 00:05:103 INFO  ComputerPage :39 - Click on 'Desktops' link <br>
